iter	Passed	Remaining
0	3	320
1	6	319
2	9	311
3	13	323
4	16	311
5	19	306
6	22	299
7	26	300
8	29	302
9	31	280
10	34	275
11	37	272
12	40	267
13	43	265
14	46	261
15	46	245
16	50	246
17	53	244
18	57	245
19	61	244
20	64	241
21	67	238
22	70	236
23	73	232
24	77	232
25	80	229
26	83	226
27	86	223
28	90	221
29	94	219
30	97	217
31	100	213
32	103	210
33	106	207
34	110	204
35	113	201
36	116	197
37	119	194
38	122	191
39	126	189
40	129	186
41	132	182
42	135	179
43	139	177
44	143	175
45	148	174
46	151	170
47	154	167
48	158	164
49	161	161
50	164	158
51	165	152
52	168	149
53	171	145
54	174	143
55	178	140
56	182	137
57	185	134
58	188	130
59	195	130
60	198	127
61	201	123
62	205	120
63	210	118
64	214	115
65	217	111
66	221	108
67	224	105
68	227	102
69	230	98
70	235	96
71	244	94
72	250	92
73	285	100
74	301	100
75	307	97
76	313	93
77	319	90
78	330	87
79	338	84
80	347	81
81	353	77
82	358	73
83	363	69
84	369	65
85	374	61
86	380	56
87	386	52
88	392	48
89	398	44
90	402	39
91	407	35
92	411	30
93	412	26
94	414	21
95	418	17
96	423	13
97	427	8
98	431	4
99	436	0
